2025-04-30 12:46:32 Starting XGBoost Game Outcome Predictions

     eta max_depth min_child_weight subsample colsample_bytree
90  0.30         7                1       0.8              0.9
91  0.01         3                3       0.8              0.9
92  0.10         3                3       0.8              0.9
93  0.30         3                3       0.8              0.9
94  0.01         5                3       0.8              0.9
95  0.10         5                3       0.8              0.9
96  0.30         5                3       0.8              0.9
97  0.01         7                3       0.8              0.9
98  0.10         7                3       0.8              0.9
99  0.30         7                3       0.8              0.9
100 0.01         3                5       0.8              0.9
101 0.10         3                5       0.8              0.9
102 0.30         3                5       0.8              0.9
103 0.01         5                5       0.8              0.9
104 0.10         5                5       0.8              0.9
105 0.30         5                5       0.8              0.9
106 0.01         7                5       0.8              0.9
107 0.10         7                5       0.8              0.9
108 0.30         7                5       0.8              0.9
109 0.01         3                1       0.9              0.9
110 0.10         3                1       0.9              0.9
111 0.30         3                1       0.9              0.9
112 0.01         5                1       0.9              0.9
113 0.10         5                1       0.9              0.9
114 0.30         5                1       0.9              0.9
115 0.01         7                1       0.9              0.9
116 0.10         7                1       0.9              0.9
117 0.30         7                1       0.9              0.9
118 0.01         3                3       0.9              0.9
119 0.10         3                3       0.9              0.9
120 0.30         3                3       0.9              0.9
121 0.01         5                3       0.9              0.9
122 0.10         5                3       0.9              0.9
123 0.30         5                3       0.9              0.9
124 0.01         7                3       0.9              0.9
125 0.10         7                3       0.9              0.9
126 0.30         7                3       0.9              0.9
127 0.01         3                5       0.9              0.9
128 0.10         3                5       0.9              0.9
129 0.30         3                5       0.9              0.9
130 0.01         5                5       0.9              0.9
131 0.10         5                5       0.9              0.9
132 0.30         5                5       0.9              0.9
133 0.01         7                5       0.9              0.9
134 0.10         7                5       0.9              0.9
135 0.30         7                5       0.9              0.9
136 0.01         3                1       1.0              0.9
137 0.10         3                1       1.0              0.9
138 0.30         3                1       1.0              0.9
139 0.01         5                1       1.0              0.9
140 0.10         5                1       1.0              0.9
141 0.30         5                1       1.0              0.9
142 0.01         7                1       1.0              0.9
143 0.10         7                1       1.0              0.9
144 0.30         7                1       1.0              0.9
145 0.01         3                3       1.0              0.9
146 0.10         3                3       1.0              0.9
147 0.30         3                3       1.0              0.9
148 0.01         5                3       1.0              0.9
149 0.10         5                3       1.0              0.9
150 0.30         5                3       1.0              0.9
151 0.01         7                3       1.0              0.9
152 0.10         7                3       1.0              0.9
153 0.30         7                3       1.0              0.9
154 0.01         3                5       1.0              0.9
155 0.10         3                5       1.0              0.9
156 0.30         3                5       1.0              0.9
157 0.01         5                5       1.0              0.9
158 0.10         5                5       1.0              0.9
159 0.30         5                5       1.0              0.9
160 0.01         7                5       1.0              0.9
161 0.10         7                5       1.0              0.9
162 0.30         7                5       1.0              0.9
163 0.01         3                1       0.8              1.0
164 0.10         3                1       0.8              1.0
165 0.30         3                1       0.8              1.0
166 0.01         5                1       0.8              1.0
167 0.10         5                1       0.8              1.0
168 0.30         5                1       0.8              1.0
169 0.01         7                1       0.8              1.0
170 0.10         7                1       0.8              1.0
171 0.30         7                1       0.8              1.0
172 0.01         3                3       0.8              1.0
173 0.10         3                3       0.8              1.0
174 0.30         3                3       0.8              1.0
175 0.01         5                3       0.8              1.0
176 0.10         5                3       0.8              1.0
177 0.30         5                3       0.8              1.0
178 0.01         7                3       0.8              1.0
179 0.10         7                3       0.8              1.0
180 0.30         7                3       0.8              1.0
181 0.01         3                5       0.8              1.0
182 0.10         3                5       0.8              1.0
183 0.30         3                5       0.8              1.0
184 0.01         5                5       0.8              1.0
185 0.10         5                5       0.8              1.0
186 0.30         5                5       0.8              1.0
187 0.01         7                5       0.8              1.0
188 0.10         7                5       0.8              1.0
189 0.30         7                5       0.8              1.0
190 0.01         3                1       0.9              1.0
191 0.10         3                1       0.9              1.0
192 0.30         3                1       0.9              1.0
193 0.01         5                1       0.9              1.0
194 0.10         5                1       0.9              1.0
195 0.30         5                1       0.9              1.0
196 0.01         7                1       0.9              1.0
197 0.10         7                1       0.9              1.0
198 0.30         7                1       0.9              1.0
199 0.01         3                3       0.9              1.0
200 0.10         3                3       0.9              1.0
201 0.30         3                3       0.9              1.0
202 0.01         5                3       0.9              1.0
203 0.10         5                3       0.9              1.0
204 0.30         5                3       0.9              1.0
205 0.01         7                3       0.9              1.0
206 0.10         7                3       0.9              1.0
207 0.30         7                3       0.9              1.0
208 0.01         3                5       0.9              1.0
209 0.10         3                5       0.9              1.0
210 0.30         3                5       0.9              1.0
211 0.01         5                5       0.9              1.0
212 0.10         5                5       0.9              1.0
213 0.30         5                5       0.9              1.0
214 0.01         7                5       0.9              1.0
215 0.10         7                5       0.9              1.0
216 0.30         7                5       0.9              1.0
217 0.01         3                1       1.0              1.0
218 0.10         3                1       1.0              1.0
219 0.30         3                1       1.0              1.0
220 0.01         5                1       1.0              1.0
221 0.10         5                1       1.0              1.0
222 0.30         5                1       1.0              1.0
223 0.01         7                1       1.0              1.0
224 0.10         7                1       1.0              1.0
225 0.30         7                1       1.0              1.0
226 0.01         3                3       1.0              1.0
227 0.10         3                3       1.0              1.0
228 0.30         3                3       1.0              1.0
229 0.01         5                3       1.0              1.0
230 0.10         5                3       1.0              1.0
231 0.30         5                3       1.0              1.0
232 0.01         7                3       1.0              1.0
233 0.10         7                3       1.0              1.0
234 0.30         7                3       1.0              1.0
235 0.01         3                5       1.0              1.0
236 0.10         3                5       1.0              1.0
237 0.30         3                5       1.0              1.0
238 0.01         5                5       1.0              1.0
239 0.10         5                5       1.0              1.0
240 0.30         5                5       1.0              1.0
241 0.01         7                5       1.0              1.0
242 0.10         7                5       1.0              1.0
243 0.30         7                5       1.0              1.0
      Feature      Gain     Cover Frequency
1:  Kpct_diff 0.5518857 0.4714905 0.4303030
2:   Elo_diff 0.2567015 0.2858826 0.3333333
3: BBpct_diff 0.1914128 0.2426270 0.2363636
       Feature       Gain      Cover  Frequency
 1:   ERA_diff 0.29333111 0.22963582 0.17575758
 2:   WAR_diff 0.15410875 0.09574703 0.09696970
 3:   FIP_diff 0.13420318 0.17077758 0.16363636
 4:   SLG_diff 0.07825929 0.05365083 0.06666667
 5:  Kpct_diff 0.07238999 0.08960036 0.09090909
 6:  wOBA_diff 0.07102828 0.08814774 0.06666667
 7:   wRC_diff 0.06109906 0.07533619 0.08484848
 8:   OBP_diff 0.04881415 0.08491763 0.07878788
 9: BBpct_diff 0.04310522 0.04664631 0.08484848
10:   Elo_diff 0.03321892 0.04379946 0.07272727
11:   ISO_diff 0.01044205 0.02174106 0.01818182
e=0.8 
[8/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=1, subsample=0.8, colsample_bytree=0.8 
[9/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=1, subsample=0.8, colsample_bytree=0.8 
[10/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=3, subsample=0.8, colsample_bytree=0.8 
[11/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=3, subsample=0.8, colsample_bytree=0.8 
[12/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=3, subsample=0.8, colsample_bytree=0.8 
[13/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=3, subsample=0.8, colsample_bytree=0.8 
[14/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=3, subsample=0.8, colsample_bytree=0.8 
[15/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=3, subsample=0.8, colsample_bytree=0.8 
[16/243] Testing parameters: eta=0.01, max_depth=7, min_child_weight=3, subsample=0.8, colsample_bytree=0.8 
[17/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=3, subsample=0.8, colsample_bytree=0.8 
[18/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=3, subsample=0.8, colsample_bytree=0.8 
[19/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=5, subsample=0.8, colsample_bytree=0.8 
[20/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=5, subsample=0.8, colsample_bytree=0.8 
[21/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=5, subsample=0.8, colsample_bytree=0.8 
[22/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=5, subsample=0.8, colsample_bytree=0.8 
[23/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=5, subsample=0.8, colsample_bytree=0.8 
[24/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=5, subsample=0.8, colsample_bytree=0.8 
[25/243] Testing parameters: eta=0.01, max_depth=7, min_child_weight=5, subsample=0.8, colsample_bytree=0.8 
[26/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=5, subsample=0.8, colsample_bytree=0.8 
[27/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=5, subsample=0.8, colsample_bytree=0.8 
[28/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=1, subsample=0.9, colsample_bytree=0.8 
[29/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=1, subsample=0.9, colsample_bytree=0.8 
[30/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=1, subsample=0.9, colsample_bytree=0.8 
[31/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=1, subsample=0.9, colsample_bytree=0.8 
[32/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=1, subsample=0.9, colsample_bytree=0.8 
[33/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=1, subsample=0.9, colsample_bytree=0.8 
[34/243] Testing parameters: eta=0.01, max_depth=7, min_child_weight=1, subsample=0.9, colsample_bytree=0.8 
[35/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=1, subsample=0.9, colsample_bytree=0.8 
[36/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=1, subsample=0.9, colsample_bytree=0.8 
[37/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=3, subsample=0.9, colsample_bytree=0.8 
[38/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=3, subsample=0.9, colsample_bytree=0.8 
[39/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=3, subsample=0.9, colsample_bytree=0.8 
[40/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=3, subsample=0.9, colsample_bytree=0.8 
[41/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=3, subsample=0.9, colsample_bytree=0.8 
[42/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=3, subsample=0.9, colsample_bytree=0.8 
[43/243] Testing parameters: eta=0.01, max_depth=7, min_child_weight=3, subsample=0.9, colsample_bytree=0.8 
[44/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=3, subsample=0.9, colsample_bytree=0.8 
[45/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=3, subsample=0.9, colsample_bytree=0.8 
[46/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=5, subsample=0.9, colsample_bytree=0.8 
[47/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=5, subsample=0.9, colsample_bytree=0.8 
[48/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=5, subsample=0.9, colsample_bytree=0.8 
[49/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=5, subsample=0.9, colsample_bytree=0.8 
[50/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=5, subsample=0.9, colsample_bytree=0.8 
[51/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=5, subsample=0.9, colsample_bytree=0.8 
[52/243] Testing parameters: eta=0.01, max_depth=7, min_child_weight=5, subsample=0.9, colsample_bytree=0.8 
[53/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=5, subsample=0.9, colsample_bytree=0.8 
[54/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=5, subsample=0.9, colsample_bytree=0.8 
[55/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=1, subsample=1.0, colsample_bytree=0.8 
[56/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=1, subsample=1.0, colsample_bytree=0.8 
[57/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=1, subsample=1.0, colsample_bytree=0.8 
[58/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=1, subsample=1.0, colsample_bytree=0.8 
[59/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=1, subsample=1.0, colsample_bytree=0.8 
[60/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=1, subsample=1.0, colsample_bytree=0.8 
[61/243] Testing parameters: eta=0.01, max_depth=7, min_child_weight=1, subsample=1.0, colsample_bytree=0.8 
[62/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=1, subsample=1.0, colsample_bytree=0.8 
[63/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=1, subsample=1.0, colsample_bytree=0.8 
[64/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=3, subsample=1.0, colsample_bytree=0.8 
[65/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=3, subsample=1.0, colsample_bytree=0.8 
[66/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=3, subsample=1.0, colsample_bytree=0.8 
[67/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=3, subsample=1.0, colsample_bytree=0.8 
[68/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=3, subsample=1.0, colsample_bytree=0.8 
[69/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=3, subsample=1.0, colsample_bytree=0.8 
[70/243] Testing parameters: eta=0.01, max_depth=7, min_child_weight=3, subsample=1.0, colsample_bytree=0.8 
[71/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=3, subsample=1.0, colsample_bytree=0.8 
[72/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=3, subsample=1.0, colsample_bytree=0.8 
[73/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=5, subsample=1.0, colsample_bytree=0.8 
[74/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=5, subsample=1.0, colsample_bytree=0.8 
[75/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=5, subsample=1.0, colsample_bytree=0.8 
[76/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=5, subsample=1.0, colsample_bytree=0.8 
[77/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=5, subsample=1.0, colsample_bytree=0.8 
[78/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=5, subsample=1.0, colsample_bytree=0.8 
[79/243] Testing parameters: eta=0.01, max_depth=7, min_child_weight=5, subsample=1.0, colsample_bytree=0.8 
[80/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=5, subsample=1.0, colsample_bytree=0.8 
[81/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=5, subsample=1.0, colsample_bytree=0.8 
[82/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=1, subsample=0.8, colsample_bytree=0.9 
[83/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=1, subsample=0.8, colsample_bytree=0.9 
[84/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=1, subsample=0.8, colsample_bytree=0.9 
[85/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=1, subsample=0.8, colsample_bytree=0.9 
[86/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=1, subsample=0.8, colsample_bytree=0.9 
[87/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=1, subsample=0.8, colsample_bytree=0.9 
[88/243] Testing parameters: eta=0.01, max_depth=7, min_child_weight=1, subsample=0.8, colsample_bytree=0.9 
[89/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=1, subsample=0.8, colsample_bytree=0.9 
[90/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=1, subsample=0.8, colsample_bytree=0.9 
[91/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=3, subsample=0.8, colsample_bytree=0.9 
[92/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=3, subsample=0.8, colsample_bytree=0.9 
[93/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=3, subsample=0.8, colsample_bytree=0.9 
[94/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=3, subsample=0.8, colsample_bytree=0.9 
[95/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=3, subsample=0.8, colsample_bytree=0.9 
[96/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=3, subsample=0.8, colsample_bytree=0.9 
[97/243] Testing parameters: eta=0.01, max_depth=7, min_child_weight=3, subsample=0.8, colsample_bytree=0.9 
[98/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=3, subsample=0.8, colsample_bytree=0.9 
[99/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=3, subsample=0.8, colsample_bytree=0.9 
[100/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=5, subsample=0.8, colsample_bytree=0.9 
[101/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=5, subsample=0.8, colsample_bytree=0.9 
[102/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=5, subsample=0.8, colsample_bytree=0.9 
[103/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=5, subsample=0.8, colsample_bytree=0.9 
[104/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=5, subsample=0.8, colsample_bytree=0.9 
[105/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=5, subsample=0.8, colsample_bytree=0.9 
[106/243] Testing parameters: eta=0.01, max_depth=7, min_child_weight=5, subsample=0.8, colsample_bytree=0.9 
[107/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=5, subsample=0.8, colsample_bytree=0.9 
[108/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=5, subsample=0.8, colsample_bytree=0.9 
[109/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=1, subsample=0.9, colsample_bytree=0.9 
[110/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=1, subsample=0.9, colsample_bytree=0.9 
[111/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=1, subsample=0.9, colsample_bytree=0.9 
[112/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=1, subsample=0.9, colsample_bytree=0.9 
[113/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=1, subsample=0.9, colsample_bytree=0.9 
[114/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=1, subsample=0.9, colsample_bytree=0.9 
[115/243] Testing parameters: eta=0.01, max_depth=7, min_child_weight=1, subsample=0.9, colsample_bytree=0.9 
[116/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=1, subsample=0.9, colsample_bytree=0.9 
[117/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=1, subsample=0.9, colsample_bytree=0.9 
[118/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=3, subsample=0.9, colsample_bytree=0.9 
[119/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=3, subsample=0.9, colsample_bytree=0.9 
[120/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=3, subsample=0.9, colsample_bytree=0.9 
[121/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=3, subsample=0.9, colsample_bytree=0.9 
[122/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=3, subsample=0.9, colsample_bytree=0.9 
[123/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=3, subsample=0.9, colsample_bytree=0.9 
[124/243] Testing parameters: eta=0.01, max_depth=7, min_child_weight=3, subsample=0.9, colsample_bytree=0.9 
[125/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=3, subsample=0.9, colsample_bytree=0.9 
[126/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=3, subsample=0.9, colsample_bytree=0.9 
[127/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=5, subsample=0.9, colsample_bytree=0.9 
[128/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=5, subsample=0.9, colsample_bytree=0.9 
[129/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=5, subsample=0.9, colsample_bytree=0.9 
[130/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=5, subsample=0.9, colsample_bytree=0.9 
[131/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=5, subsample=0.9, colsample_bytree=0.9 
[132/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=5, subsample=0.9, colsample_bytree=0.9 
[133/243] Testing parameters: eta=0.01, max_depth=7, min_child_weight=5, subsample=0.9, colsample_bytree=0.9 
[134/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=5, subsample=0.9, colsample_bytree=0.9 
[135/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=5, subsample=0.9, colsample_bytree=0.9 
[136/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=1, subsample=1.0, colsample_bytree=0.9 
[137/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=1, subsample=1.0, colsample_bytree=0.9 
[138/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=1, subsample=1.0, colsample_bytree=0.9 
[139/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=1, subsample=1.0, colsample_bytree=0.9 
[140/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=1, subsample=1.0, colsample_bytree=0.9 
[141/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=1, subsample=1.0, colsample_bytree=0.9 
[142/243] Testing parameters: eta=0.01, max_depth=7, min_child_weight=1, subsample=1.0, colsample_bytree=0.9 
[143/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=1, subsample=1.0, colsample_bytree=0.9 
[144/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=1, subsample=1.0, colsample_bytree=0.9 
[145/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=3, subsample=1.0, colsample_bytree=0.9 
[146/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=3, subsample=1.0, colsample_bytree=0.9 
[147/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=3, subsample=1.0, colsample_bytree=0.9 
[148/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=3, subsample=1.0, colsample_bytree=0.9 
[149/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=3, subsample=1.0, colsample_bytree=0.9 
[150/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=3, subsample=1.0, colsample_bytree=0.9 
[151/243] Testing parameters: eta=0.01, max_depth=7, min_child_weight=3, subsample=1.0, colsample_bytree=0.9 
[152/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=3, subsample=1.0, colsample_bytree=0.9 
[153/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=3, subsample=1.0, colsample_bytree=0.9 
[154/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=5, subsample=1.0, colsample_bytree=0.9 
[155/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=5, subsample=1.0, colsample_bytree=0.9 
[156/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=5, subsample=1.0, colsample_bytree=0.9 
[157/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=5, subsample=1.0, colsample_bytree=0.9 
[158/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=5, subsample=1.0, colsample_bytree=0.9 
[159/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=5, subsample=1.0, colsample_bytree=0.9 
[160/243] Testing parameters: eta=0.01, max_depth=7, min_child_weight=5, subsample=1.0, colsample_bytree=0.9 
[161/243] Testing parameters: eta=0.10, max_depth=7, min_child_weight=5, subsample=1.0, colsample_bytree=0.9 
[162/243] Testing parameters: eta=0.30, max_depth=7, min_child_weight=5, subsample=1.0, colsample_bytree=0.9 
[163/243] Testing parameters: eta=0.01, max_depth=3, min_child_weight=1, subsample=0.8, colsample_bytree=1.0 
[164/243] Testing parameters: eta=0.10, max_depth=3, min_child_weight=1, subsample=0.8, colsample_bytree=1.0 
[165/243] Testing parameters: eta=0.30, max_depth=3, min_child_weight=1, subsample=0.8, colsample_bytree=1.0 
[166/243] Testing parameters: eta=0.01, max_depth=5, min_child_weight=1, subsample=0.8, colsample_bytree=1.0 
[167/243] Testing parameters: eta=0.10, max_depth=5, min_child_weight=1, subsample=0.8, colsample_bytree=1.0 
[168/243] Testing parameters: eta=0.30, max_depth=5, min_child_weight=1, subsample=0.8, colsample_bytree=1.0 
